scene_id,shot_start_fr,shot_start_t,shot_dur_t,location,cut_type,cut_dur_t,cut_dur_fr
1.0,1.0,0.0,4.72,backyard,cut,0.0,0
1.0,119.0,4.72,10.28,backyard,cut,0.0,0
1.0,376.0,15.0,1.72,backyard,cut,0.0,0
1.0,419.0,16.72,2.36,backyard,cut,0.0,0
1.0,478.0,19.08,2.64,backyard,cut,0.0,0
1.0,544.0,21.72,3.36,backyard,cut,0.0,0
1.0,628.0,25.08,2.0,backyard,cut,0.0,0
2.0,678.0,27.08,10.56,livingroom,fadeout/fadein,0.4,10
3.0,942.0,37.64,8.52,bedroom,dissolve,0.48,12
4.0,1155.0,46.16,20.12,bedroom,cut,0.0,0
4.0,1658.0,66.28,0.52,bedroom,cut,0.0,0
5.0,1671.0,66.8,23.36,bedroom,cut,0.0,0
5.0,2255.0,90.16,2.56,bedroom,cut,0.0,0
5.0,2319.0,92.72,2.16,bedroom,cut,0.0,0
5.0,2373.0,94.88,4.44,bedroom,cut,0.0,0
5.0,2484.0,99.32,4.32,bedroom,cut,0.0,0
5.0,2592.0,103.64,4.64,bedroom,cut,0.0,0
5.0,2708.0,108.28,5.16,bedroom,cut,0.0,0
5.0,2837.0,113.44,1.56,bedroom,cut,0.0,0
5.0,2876.0,115.0,2.96,bedroom,cut,0.0,0
5.0,2950.0,117.96,2.04,bedroom,cut,0.0,0
5.0,3001.0,120.0,1.88,bedroom,cut,0.0,0
5.0,3048.0,121.88,4.64,bedroom,cut,0.0,0
5.0,3164.0,126.52,2.68,bedroom,cut,0.0,0
5.0,3231.0,129.2,8.36,bedroom,cut,0.0,0
5.0,3440.0,137.56,2.8,bedroom,cut,0.0,0
5.0,3510.0,140.36,3.0,bedroom,cut,0.0,0
5.0,3585.0,143.36,1.88,bedroom,cut,0.0,0
5.0,3632.0,145.24,2.64,bedroom,cut,0.0,0
5.0,3698.0,147.88,1.52,bedroom,cut,0.0,0
5.0,3736.0,149.4,1.36,bedroom,cut,0.0,0
5.0,3770.0,150.76,2.64,bedroom,cut,0.0,0
5.0,3836.0,153.4,0.52,bedroom,cut,0.0,0
5.0,3849.0,153.92,5.16,bedroom,cut,0.0,0
5.0,3978.0,159.08,2.08,bedroom,cut,0.0,0
5.0,4030.0,161.16,1.92,bedroom,cut,0.0,0
5.0,4078.0,163.08,4.2,bedroom,cut,0.0,0
5.0,4183.0,167.28,1.76,bedroom,cut,0.0,0
5.0,4227.0,169.04,1.64,bedroom,cut,0.0,0
5.0,4268.0,170.68,1.16,bedroom,cut,0.0,0
5.0,4297.0,171.84,1.64,bedroom,cut,0.0,0
5.0,4338.0,173.48,11.44,bedroom,cut,0.0,0
6.0,4624.0,184.92,26.68,livingroom,cut,0.0,0
6.0,5291.0,211.6,5.88,livingroom,cut,0.0,0
6.0,5438.0,217.48,36.76,livingroom,cut,0.0,0
7.0,6357.0,254.24,1.88,outsidesupermarket,fadeout/fadein,0.32,8
7.0,6404.0,256.12,5.48,outsidesupermarket,cut,0.0,0
7.0,6541.0,261.6,3.24,outsidesupermarket,cut,0.0,0
7.0,6622.0,264.84,1.84,outsidesupermarket,cut,0.0,0
7.0,6668.0,266.68,2.56,outsidesupermarket,cut,0.0,0
7.0,6732.0,269.24,3.8,outsidesupermarket,cut,0.0,0
7.0,6827.0,273.04,4.24,outsidesupermarket,cut,0.0,0
7.0,6933.0,277.28,4.0,outsidesupermarket,cut,0.0,0
7.0,7033.0,281.28,3.28,outsidesupermarket,cut,0.0,0
7.0,7115.0,284.56,4.2,outsidesupermarket,cut,0.0,0
7.0,7220.0,288.76,2.68,outsidesupermarket,cut,0.0,0
7.0,7287.0,291.44,16.44,outsidesupermarket,cut,0.0,0
7.0,7698.0,307.88,6.6,outsidesupermarket,cut,0.0,0
8.0,7863.0,314.48,14.04,livingroom,dissolve,1.52,38
9.0,8214.0,328.52,12.24,outsidehouse,fadeout/cut,1.84,46
10.0,8520.0,340.76,5.44,outsidesupermarket,cut,0.0,0
10.0,8656.0,346.2,3.8,outsidesupermarket,cut,0.0,0
10.0,8751.0,350.0,7.84,outsidesupermarket,cut,0.0,0
10.0,8947.0,357.84,2.16,outsidesupermarket,cut,0.0,0
10.0,9001.0,360.0,2.56,outsidesupermarket,cut,0.0,0
10.0,9065.0,362.56,2.36,outsidesupermarket,cut,0.0,0
10.0,9124.0,364.92,2.84,outsidesupermarket,cut,0.0,0
10.0,9195.0,367.76,1.68,outsidesupermarket,cut,0.0,0
10.0,9237.0,369.44,2.2,outsidesupermarket,cut,0.0,0
10.0,9292.0,371.64,18.0,outsidesupermarket,cut,0.0,0
10.0,9742.0,389.64,18.24,outsidesupermarket,cut,0.0,0
10.0,10198.0,407.88,1.84,outsidesupermarket,cut,0.0,0
10.0,10244.0,409.72,9.32,outsidesupermarket,cut,0.0,0
10.0,10477.0,419.04,1.2,outsidesupermarket,cut,0.0,0
10.0,10507.0,420.24,4.12,outsidesupermarket,cut,0.0,0
10.0,10610.0,424.36,3.28,outsidesupermarket,cut,0.0,0
10.0,10692.0,427.64,1.08,outsidesupermarket,cut,0.0,0
10.0,10719.0,428.72,2.8,outsidesupermarket,cut,0.0,0
10.0,10789.0,431.52,1.96,outsidesupermarket,cut,0.0,0
11.0,10838.0,433.48,1.52,outsidehouse,fadeout/fadein,0.4,10
12.0,10876.0,435.0,2.52,livingroom,cut,0.0,0
13.0,10939.0,437.52,2.08,livingroom,aperture,0.16,4
13.0,10991.0,439.6,2.68,livingroom,cut,0.0,0
13.0,11058.0,442.28,2.96,livingroom,cut,0.0,0
13.0,11132.0,445.24,4.8,livingroom,cut,0.0,0
13.0,11252.0,450.04,1.36,livingroom,cut,0.0,0
13.0,11286.0,451.4,1.64,livingroom,cut,0.0,0
13.0,11327.0,453.04,0.84,livingroom,cut,0.0,0
13.0,11348.0,453.88,2.56,livingroom,cut,0.0,0
13.0,11412.0,456.44,0.52,livingroom,cut,0.0,0
13.0,11425.0,456.96,2.36,livingroom,cut,0.0,0
13.0,11484.0,459.32,16.12,livingroom,cut,0.0,0
13.0,11887.0,475.44,,livingroom,fadeout,0.76,19
